name,calories,protein,fats,carbs,fiber,Ca(mg),Fe,Mg,P,K,Na,Zn,Cu,Mn,I(ug),Se,Mo,Vit D,Vit B6,Vit B12,Vit C
cojita cheese,351,23.8,27.2,2.72,0,700,0.4,29.9,486,117,1620,3.6,0.05,0.017,64.8,0,0,0.1,0,0,0
dry white queso seco,325,24.5,24.3,2.07,0,661,0.18,26.7,475,116,1810,3.28,0.027,0.017,0,22.4,0,1.83,0.091,1.7,0
feta,273,19.7,19.1,5.58,0,371,0.07,17.7,328,105,1030,2.35,0.032,0.02,48.4,0,0,0.1,0.038,0,0
monterey jack,392,22.6,32.6,1.9,0,715,0.4,29.6,471,83,662,3.78,0.05,0.011,35.9,0,0,0.1,0,0,0
mozzarella,296,23.7,20.4,4.44,0,693,0.2,27.2,533,116,699,3.62,0.035,0.035,0,26.7,0,0,0.09,1.65,0
oaxaca,297,22.1,22.1,2.4,0,542,0.4,21.6,380,81,734,3.51,0.05,0.021,45.7,0,0,0.1,0,0,0
provolone,357,23.4,28.1,2.45,0,749,0.4,29.5,494,95,601,3.89,0.05,0.03,64.3,0,0,0.1,0,0,0
queso fresco,298,18.9,23.4,2.96,0,602,0.4,27.6,390,126,626,2.91,0.05,0.02,79.9,0,0,0.1,0,0,0
ricotta,158,7.81,11,6.86,0,224,0.1,19.7,162,230,105,0.56,0,0,0,5.5,0,0,0.099,0.78,0
swiss cheese,393,27,31,1.44,0,890,0.13,33.4,574,71,185,4.37,0.047,0.027,0,30.1,0,0,0.07,3.02,0
cream cheese,343,5.79,33.5,4.56,0,97,0.4,8.9,108,125,368,0.59,0.04,0.08,34.9,0,0,0,0.039,0.44,0
sour cream,196,3.07,18,5.56,0,107,0.4,10.1,102,154,50,0.39,0.04,0.08,32.8,0,0,0,0.038,0.06,0
egg yolk,328,16.2,28.8,1.02,0,0,0,0,0,0,0,0,0,0,0,55.8,0,0,0,0,0
whole milk,61,3.27,3.2,4.63,0,123,0,11.9,101,150,38,0.42,0.001,0,37.9,1.9,0,0.96,0.061,0.54,0
2% milk,50,3.36,1.9,4.9,0,126,0,12,103,159,39,0.43,0.001,0.001,39.6,1.8,0,1.13,0.061,0.55,0
1% milk,43,3.38,0.95,5.18,0,126,0,12,103,159,39,0.43,0.001,0,36.2,2.1,0,1.06,0.06,0.61,0
0% milk,34,3.43,0.08,4.92,0,132,0,12.5,107,167,41,0.45,0.002,0.001,0,35.7,2,1.1,0.058,0.58,0
low fat buttermilk,43,3.46,1.08,4.81,0,120,0.01,11,92,158,92,0.43,0.001,0.005,34.2,0,0,0.54,0.039,0,0
parmesan cheese,392,32,25,3.5,0,884,0.45,34.9,634,184,1750,4.33,0.04,0.066,0,35,0,0,0.081,1.35,0
mild cheddar,392,25,32,3.5,0,700,0.2,30,455,76,653,3.6,0,0,0,28.5,0,1,0.075,0.88,0
prunes,250,2.5,0,57.5,7.5,43,0.9,41,19,186,2.5,0.05,0.054,0.04,0,0,0,0,2.05,0,0.6
banana,98,0.74,0.29,23,1.7,5,0.3,28,22,326,4,0.16,0.101,0.258,10,2.5,0,0,0.209,0,12.3
fuji apples,65,0.15,0.16,15.6,2.1,6,0.02,4.7,10,104,1,0.02,0.033,0.033,0,0,0,0,0.035,0,0
gala apples,61,0.13,0.15,14.8,2.1,7,0.06,4.9,8,106,0,0.02,0.034,0.04,0,0,0,0,0.032,0,0
granny smith apples,59,0.27,0.14,14.1,2.5,5,0.07,5.1,10,116,1,0.02,0.035,0.039,0,0,0,0,0.028,0,0
honeycrisp apples,60,0.1,0.1,14.7,1.7,4,0.1,4.2,8,98,0,0.02,0.023,0.04,0,0,0,0,0.033,0,0
apricot,48,0.96,0.4,10.2,1.5,12,0.16,8.9,23,231,2.5,0.15,0.056,0.054,0,0,0,0,0,0,3.1
blackberries,32.2,1.53,0,6.52,0,15,0.21,20.6,20,167,2,0.19,0.145,0.885,0,0,0,0,0,0,15.4
blueberries,64,0.7,0.31,14.6,0,12,0.34,6.2,13,86,2,0.09,0.46,0.423,0,0,0,0,0,0,8.1
cherries,71,1.04,0.19,16.2,0,12,0.11,12.1,23,230,2.5,0.06,0.069,0.073,0,0,1,0,0.049,0,10.4
dried figs,277,3.3,0.92,63.9,9.8,162,2.03,67.6,67,680,10,0.66,0.287,0.51,0,0.6,0,0,0.106,0,1.2
green grapes,80,0.9,0.23,18.6,2,10,0.2,7.1,22,218,3,0.03,0.061,0.084,0,0,0,0,0,0,3
red grapes,86,0.91,0.16,20.2,3,10,0.16,8.6,25,229,7,0.04,0.081,0.098,0,0,0,0,0,0,3.3
kiwi,65,1.01,0.64,13.8,2.1,24,0.04,14.8,28,302,2,0.45,0.128,0.068,0,0,0,0,0,0,58.8
mandarin,62,1.04,0.46,13.4,1.3,44,0.25,12.6,20,167,2.5,0.07,0.043,0.05,0,0,0,0,0,0,21.2
mango (ataulfo),78,0.69,0.68,17.4,1.3,10,0.249,10.6,18,204,2.49,0.1,0.103,0.104,0,0,0,0,0.108,0,168
mango (tommy atkins),68,0.56,0.57,15.3,1.8,12,0.249,10.3,16,165,2.49,0.07,0.091,0.106,0,0,0,0,0.071,0,25.5
cantaloupe,38,0.82,0.18,8.16,0.8,9,0.38,13,17,157,30,0.44,0.085,0.046,0,1.70,0,0,0.04,0,10.9
honeydew,37,0.53,0.22,8.15,1,7,0.249,9.5,12,209,21,0.06,0.009,0.035,0,0,0,0,0,0,15.7
nectarines,43,1.06,0.28,9.18,1.5,2,0.3,8.8,26,131,13,0.21,0.082,0.47,0,0,0,0,0.025,0,2.9
green olives,141,1.15,12.9,4.96,4,121,0.31,12.4,7,43,1620,0.09,0.107,0.047,0,0,0,0,0,0,0
oranges,52,0.91,0.15,11.8,2,43,0.33,10.7,23,166,9,0.11,0.064,0.029,0,0,0,0,0.079,0,59.1
